"ProductId","ProductName","AverageQuantitySold","AverageQuantityAvailable","InventoryTurnoverRate"
644,Five Alive Citrus,55.6263,1.0000,55.62631579
953,Cheese - Cream Cheese,55.1582,1.0000,55.15819209
546,"Sauce - White, Mix",54.6291,1.0000,54.62910798
423,Country Roll,54.4233,1.0000,54.42328042
563,Coffee - French Vanilla Frothy,53.4301,1.0000,53.43010753
437,Beans - Green,53.4256,1.0000,53.42564103
603,Sugar - White Packet,53.0515,1.0000,53.05150215
845,Papadam,53.0379,1.0000,53.03791469
716,Squash - Butternut,52.9064,1.0000,52.90640394
435,Remy Red Berry Infusion,52.8962,1.0000,52.89617486
453,Tomato Paste,52.7412,1.0000,52.74117647
74,"Lamb - Whole Head Off,nz",52.6761,1.0000,52.67605634
805,Chocolate - Liqueur Cups With Foil,52.3939,1.0000,52.39393939
198,Shark - Loin,52.3614,1.0000,52.36138614
695,Mayonnaise,52.3016,1.0000,52.30158730
643,Mushroom Morel Fresh,52.2903,1.0000,52.29032258
678,Soho Lychee Liqueur,52.1517,1.0000,52.15168539
414,Beans - French,52.1436,1.0000,52.14358974
113,Lobster - Cooked,52.1337,1.0000,52.13368984
339,Brandy Apricot,52.1122,1.0000,52.11219512
777,Lettuce - Escarole,52.0197,1.0000,52.01970443
237,Bread Bowl Plain,52.0155,1.0000,52.01554404
349,Wooden Mop Handle,51.9316,1.0000,51.93157895
190,"Lemonade - Island Tea, 591 Ml",51.8955,1.0000,51.89552239
138,Beef - Montreal Smoked Brisket,51.8852,1.0000,51.88524590
579,Appetizer - Mango Chevre,51.8663,1.0000,51.86633663
71,Cattail Hearts,51.8595,1.0000,51.85945946
718,"Beef - Tongue, Fresh",51.7659,1.0000,51.76585366
611,Pie Shell - 5,51.6766,1.0000,51.67661692
182,"Juice - Apple, 500 Ml",51.6651,1.0000,51.66507177
209,Island Oasis - Ice Cream Mix,51.6597,1.0000,51.65968586
167,Goat - Whole Cut,51.6141,1.0000,51.61413043
503,Dasheen,51.3757,1.0000,51.37566138
97,"Soup - Beef Conomme, Dry",51.3622,1.0000,51.36224490
692,Juice - Lemon,51.3187,1.0000,51.31868132
150,Cookies Almond Hazelnut,51.2714,1.0000,51.27142857
608,"Loaf Pan - 2 Lb, Foil",51.2708,1.0000,51.27083333
371,Pepper - Cubanelle,51.2475,1.0000,51.24752475
416,Curry Powder,51.2000,1.0000,51.20000000
153,Soup Campbells Beef With Veg,51.1421,1.0000,51.14210526
976,"Soup - Campbells, Creamy",51.1289,1.0000,51.12886598
577,Jack Daniels,51.0859,1.0000,51.08585859
179,"Pasta - Detalini, White, Fresh",51.0093,1.0000,51.00934579
192,Beer - Blue,50.9746,1.0000,50.97461929
688,Breakfast Quesadillas,50.9385,1.0000,50.93846154
90,Island Oasis - Magarita Mix,50.9132,1.0000,50.91324201
630,Eggroll,50.8724,1.0000,50.87244898
99,Cookies - Englishbay Wht,50.7659,1.0000,50.76585366
149,Paper - Brown Paper Mini Cups,50.7241,1.0000,50.72413793
360,Venison - Striploin,50.5817,1.0000,50.58173077
895,"Wine - Red, Antinori Santa",50.4545,1.0000,50.45454545
417,Wine - Montecillo Rioja Crianza,50.4400,1.0000,50.44000000
841,Toothpick Frilled,50.3713,1.0000,50.37128713
240,Lid - 3oz Med Rec,50.3510,1.0000,50.35096154
600,Nantucket Orange Juice,50.3096,1.0000,50.30964467
572,Chinese Foods - Plain Fried Rice,50.2132,1.0000,50.21319797
706,Sugar - White Packet,50.2009,1.0000,50.20093458
852,Latex Rubber Gloves Size 9,50.1844,1.0000,50.18435754
278,Flower - Commercial Bronze,50.1005,1.0000,50.10050251
473,Bacardi Raspberry,50.0603,1.0000,50.06030151
342,Longos - Burritos,50.0236,1.0000,50.02358491
652,Sunflower Seed Raw,49.9417,1.0000,49.94174757
928,Cake - Pancake,49.9412,1.0000,49.94117647
297,Marjoram - Fresh,49.9406,1.0000,49.94059406
388,Chutney Sauce,49.9333,1.0000,49.93333333
310,Vinegar - Raspberry,49.8421,1.0000,49.84210526
901,Oil - Olive,49.7956,1.0000,49.79555556
864,Pecan Raisin - Tarts,49.7644,1.0000,49.76442308
25,Coffee Cup 16oz Foam,49.7023,1.0000,49.70232558
334,Goldschalger,49.6996,1.0000,49.69955157
168,"Tart Shells - Sweet, 3",49.6571,1.0000,49.65714286
52,"Sparkling Wine - Rose, Freixenet",49.6055,1.0000,49.60550459
491,"Halibut - Whole, Fresh",49.5907,1.0000,49.59067358
4,Zucchini - Green,49.5485,1.0000,49.54854369
212,Tomato - Peeled Italian Canned,49.4863,1.0000,49.48633880
641,Fruit Mix - Light,49.4346,1.0000,49.43459916
670,Sauce - Vodka Blush,49.3580,1.0000,49.35795455
521,Veal - Kidney,49.3298,1.0000,49.32984293
766,Rum - Mount Gay Eclipes,49.2353,1.0000,49.23529412
270,"Tarragon - Primerba, Paste",49.2208,1.0000,49.22077922
748,Radish - Pickled,48.9398,1.0000,48.93981481
902,Veal - Heart,48.7847,1.0000,48.78468900
107,Cheese - Valancey,48.7571,1.0000,48.75714286
615,Bread - Italian Sesame Poly,48.7009,1.0000,48.70085470
472,Parsley Italian - Fresh,48.6042,1.0000,48.60416667
987,Salmon - Fillets,48.5969,1.0000,48.59693878
948,Cheese - Parmigiano Reggiano,48.5439,1.0000,48.54385965
123,"Capon - Breast, Double, Wing On",48.5077,1.0000,48.50769231
747,Chips Potato Salt Vinegar 43g,48.4927,1.0000,48.49268293
649,"Sparkling Wine - Rose, Freixenet",48.3587,1.0000,48.35869565
136,Bandage - Fexible 1x3,48.2917,1.0000,48.29166667
178,"Cheese - Brie,danish",48.2594,1.0000,48.25943396
117,Flour - Rye,48.2341,1.0000,48.23414634
811,Rice Paper,48.1523,1.0000,48.15228426
189,Brandy Cherry - Mcguinness,48.0484,1.0000,48.04838710
15,Oranges,48.0198,1.0000,48.01980198
605,"Beans - Black Bean, Dry",47.7736,1.0000,47.77358491
708,Sauce - Oyster,47.2322,1.0000,47.23222749
540,Table Cloth 90x90 Colour,46.9800,1.0000,46.98000000
2,Pepper - Red Bell,46.7109,1.0000,46.71090047
519,Wine - Ej Gallo Sierra Valley,46.6211,1.0000,46.62111801
122,Cheese - Marble,45.0631,1.0000,45.06310680
582,Kumquat,55.2698,2.0000,27.63492063
765,Soup - Chicken And Wild Rice,54.1827,2.0000,27.09137056
530,"Pepper - Green, Chili",54.1297,2.0000,27.06485356
195,"Tart Shells - Sweet, 4",53.9378,2.0000,26.96891192
561,Pepper - Sorrano,53.9162,2.0000,26.95810056
518,Fruit Salad Deluxe,53.3140,2.0000,26.65700483
129,Compound - Orange,53.1648,2.0000,26.58241758
979,"Beans - Turtle, Black, Dry",52.9500,2.0000,26.47500000
134,Coffee Cup 12oz 5342cd,52.7713,2.0000,26.38563830
943,Cake - Pancake,52.7345,2.0000,26.36723164
412,Table Cloth 54x72 Colour,52.6818,2.0000,26.34090909
900,Chives - Fresh,52.6257,2.0000,26.31286550
972,Brandy - Bar,52.5882,2.0000,26.29411765
298,Hog / Sausage Casing - Pork,52.2527,2.0000,26.12637363
968,Longos - Chicken Curried,52.1925,2.0000,26.09625668
843,"Wine - Magnotta, Merlot Sr Vqa",52.1502,2.0000,26.07511737
863,Corn - Mini,52.1308,2.0000,26.06542056
867,Orange Roughy 6/8 Oz,52.1263,2.0000,26.06313131
281,Foam Tray S2,51.9615,2.0000,25.98076923
234,Pork Ham Prager,51.9227,2.0000,25.96134021
663,Raspberries - Frozen,51.8789,2.0000,25.93947368
248,Sultanas,51.7268,2.0000,25.86341463
713,Glass Clear 7 Oz Xl,51.6587,2.0000,25.82932692
892,Muffin Hinge - 211n,51.6524,2.0000,25.82618026
12,Flour - Semolina,51.6500,2.0000,25.82500000
68,Sauce - Vodka Blush,51.5503,2.0000,25.77513228
377,Steamers White,51.5134,2.0000,25.75668449
385,Wine - Montecillo Rioja Crianza,51.4879,2.0000,25.74396135
403,"Lemonade - Black Cherry, 591 Ml",51.4335,2.0000,25.71674877
842,Onions - Cooking,51.2228,2.0000,25.61139896
619,"Wine - Red, Mouton Cadet",51.1786,2.0000,25.58928571
839,"Mushroom - Enoki, Fresh",51.1741,2.0000,25.58706468
1000,"Soup - Knorr, French Onion",51.0304,2.0000,25.51521739
