"ProductId","ProductName","inventory_turnover_rate"
127,Chicken - White Meat With Tender,3.74658120
205,Shichimi Togarashi Peppeers,3.80333333
86,Tea - Herbal Sweet Dreams,3.85000000
290,"Jam - Raspberry,jar",3.89069767
583,Smoked Paprika,3.90283688
311,Longos - Chicken Caeser Salad,3.92597293
855,Cream Of Tartar,3.93394777
374,Carrots - Jumbo,3.93781095
853,Wine - Pinot Noir Mondavi Coastal,3.94006568
159,Tobasco Sauce,3.95320197
884,Beer - Sleeman Fine Porter,3.97792998
102,Foie Gras,3.99074074
958,"Cup - 3.5oz, Foam",4.01871658
323,Jerusalem Artichoke,4.03037383
926,Ecolab - Hobart Upr Prewash Arm,4.03156566
389,"Squash - Pattypan, Yellow",4.07060755
576,Vanilla Beans,4.07355442
451,"Pail - 4l White, With Handle",4.07870370
543,"Beef - Baby, Liver",4.08285985
679,Cheese - Le Cheve Noir,4.11640893
411,"Cake Circle, Foil, Scallop",4.11666667
524,Garbage Bags - Black,4.11794171
30,Cake - Lemon Chiffon,4.12309645
120,Flour - Chickpea,4.13173401
143,Muffin - Bran Ind Wrpd,4.13942308
673,Beef - Tenderloin Tails,4.14009009
997,Pork - Smoked Back Bacon,4.14272560
493,Beer - Pilsner Urquell,4.15759931
108,Pepper - Green Thai,4.16309524
754,Pail With Metal Handle 16l White,4.16548742
525,Horseradish Root,4.16708126
365,Raspberries - Fresh,4.16744548
382,"Beef - Bones, Marrow",4.16959064
101,Fork - Plastic,4.18226381
751,Mortadella,4.18616208
304,Rum - Mount Gay Eclipes,4.18632075
282,"Pork - Loin, Center Cut",4.19401709
147,Energy Drink Bawls,4.19811321
715,Cookie - Oatmeal,4.20041667
126,Sauce - Caesar Dressing,4.20344288
552,Cheese - Comte,4.20771757
988,Wine - Manischewitz Concord,4.21208531
699,Hand Towel,4.21256039
802,Oxtail - Cut,4.21396396
488,Wine - Riesling Dr. Pauly,4.21642970
639,"Pork - Sausage, Medium",4.21884735
592,Vol Au Vents,4.21996616
366,Flavouring - Orange,4.22169811
565,Cup Translucent 9 Oz,4.22719735
463,"Veal - Chops, Split, Frenched",4.22986891
962,Rice - Aborio,4.23093972
918,"Wine - White, Riesling, Semi - Dry",4.23211382
764,Rice Paper,4.23265651
635,Cheese - Comtomme,4.23402418
872,Soup - Campbells Mac N Cheese,4.23472949
125,"Pasta - Orzo, Dry",4.23488774
26,Towel Dispenser,4.24074074
807,Soup - Campbells Asian Noodle,4.24474110
489,Oil - Olive Bertolli,4.24659864
350,Herb Du Provence - Primerba,4.24953184
196,"Wine - Red, Black Opal Shiraz",4.25045290
181,Cup Translucent 9 Oz,4.25200321
985,Chinese Foods - Plain Fried Rice,4.25820380
590,Wine - Wyndham Estate Bin 777,4.26519337
610,Sherry - Dry,4.26633987
584,"Doilies - 12, Paper",4.27060932
499,French Kiss Vanilla,4.27887427
231,Pate Pans Yellow,4.28710359
